Item Name,Qty,Price (total) (GPB),Item link, Notes
Custom PCB, 1, £32.88 w/ shipping, https://cart.jlcpcb.com/quote, PCB v2
Arduino Pro Micro ATmega32U4 3.3V/8MHz, 1, £5.90, https://www.aliexpress.com/item/1005007240573013.html, Must be 3.3v/8MHz
PMW3389 Sensor + LM19-LCT Lens, 1, £7.55, https://www.aliexpress.com/item/1005007468783392.html, -
EC11 Rotary Encoder, 1, £0.85, https://www.aliexpress.com/item/1005007644083514.html, -
Mill-Max 3305 Socket, 6, £3.00, https://keebd.com/en-gb/products/mill-max-socket-3305-pack-of-10, -
Huano Blue Shell Pink Dot, 2, £2.77, https://www.aliexpress.com/item/1005004754415184.html, -
Single Row Pin Female Header Socket Pitch 2.54mm 1x12 pin, 2, £1.20, https://www.aliexpress.com/item/4001198421663.html, -
13 Ω Resistor, 1, £1.25, https://www.aliexpress.com/item/1005001794062302.html, -
10 kΩ Resistor, 1, £1.25, https://www.aliexpress.com/item/1005001794062302.html, -
100 nF Capacitor, 5, £3, https://www.aliexpress.com/item/1005010243722146.html, -
10 µF Capacitor, 3, £6.02, https://www.aliexpress.com/item/1005010243722146.html, -
4.7 µF Capacitor, 1, £5.77, https://www.aliexpress.com/item/1005010243722146.html, -
XC6206-1.8V 65K5 LDO, 1, £0.95, https://www.aliexpress.com/item/1005005560879957.html, -
PTFE Mouse Skates, 10, £1.05, https://www.aliexpress.com/item/1005007319381356.html, -
USB Cable, 1, £0.90, https://www.aliexpress.com/item/1005003391567749.html, -
M2 x 3 x 3.2 Heat Insert, 7, , , -
M2 x 3mm Screw, 3, , , -
M2 x 7mm Screw, 4, , , -
